,x,ret
0,-0.1796493016292664,0.0
1,2.2216630301485925,0.5520075172402841
2,5.069104460972463,1.3811336380576265
3,7.455446017614549,1.6553854974597473
4,9.425600025482169,2.208030068961129
5,11.380783258214018,2.482918982624348
6,13.767124814856105,2.7571708420264756
7,15.461816560225515,2.1991113093057706
8,16.710379206548915,1.3639331730080144
9,17.97391262800809,0.8065106945484071
10,19.237446049467266,0.24908821608880727
11,20.731529408017327,-0.030897131663188748
12,22.22561276656739,-0.31088247941518476
13,23.764608450524772,0.24239914634729587
14,25.30360413448216,0.795680772109769
15,26.612049881348646,1.0715252671646316
16,27.905524853079356,1.069614104381344
17,29.429549761900965,1.3451400723056608
18,31.339820669225503,0.7867620124544108
19,33.034512414594914,0.2287024797337125
20,34.498654222873434,-0.6067941836945971
21,35.531637707241714,-1.441653792861807
22,36.85505422924397,-0.8880536399687813
23,38.0227746898342,0.7768876714074153
24,39.265349026103294,3.8306072719743938
25,39.83124432623549,6.329771138256703
26,40.397139626367675,8.828935004539005
27,40.53187660258962,11.32873592508242
28,41.067830352450265,13.272388475688414
29,41.864275589673355,16.048989472678336
30,41.99901256589529,18.548790393221743
31,42.99606618993773,21.047317205242955
32,43.561961490069926,23.546481071525267
33,44.17276911560943,26.878911911322042
34,44.523085253786476,29.378394304734904
35,45.93632642660339,31.598528404656864
36,46.76271321409801,34.9306407173231
37,47.975346000095556,37.42884900221375
38,49.544283234324475,38.537641943652545
39,51.358741180780065,40.2016276736371
40,53.11331602669257,40.754590772269026
41,54.57745783497109,39.91909410884072
42,55.79607893102296,38.52840465686665
43,56.769179314848145,36.58252241634681
44,57.54167131185399,34.914714360795685
45,58.514771695679165,32.96883212027584
46,59.9190304034146,31.02231282549491
47,62.05985124783002,30.741371896351268
48,63.98509293029033,30.46074949433818
49,66.77265126057111,30.17885298380289
50,69.79075952794278,30.174393603975215
51,72.42262179681154,31.00383825192311
52,74.40774657981494,31.834238481262638
53,76.347959037411,31.831371737087704
54,78.47380910669065,31.27267515010591
55,80.15353007692428,30.436859959547053
56,81.87816337256523,30.43431174250266
57,83.60279666820621,30.431763525458276
58,84.92621319020846,30.9853636783513
59,86.92630874834765,32.09351956552899
60,88.89646275621527,32.64616413703037
61,91.48341269967669,32.64234181146379
62,93.60926276895631,32.083645224482
63,95.27401296405421,30.970074376084977
64,96.92379238401631,29.578747869849817
65,98.1124719297966,27.632547102199432
66,100.17843889853316,25.96282788386501
67,101.4120307697208,24.849894089729094
68,102.83126025259199,23.181130452786316
